;y_test_0;y_pred_0;y_test_1;y_pred_1;y_test_2;y_pred_2;y_test_3;y_pred_3
16943;22.2586;22.797693;50.557608;53.28916;22.2586;41.753666;50.557608;45.01603
16944;686.544432;667.7444;17.17068;15.34969;686.544432;232.91605;17.17068;27.00776
16945;50.160384;53.305763;6.534645;6.6806183;50.160384;36.375057;6.534645;7.407152
16946;18.086625;17.20743;36.840204;37.96258;18.086625;45.77524;36.840204;28.855612
16947;67.818168;50.111122;12.571806;12.961482;67.818168;178.31134;12.571806;13.980571
16948;57.562622;48.82342;61.795404;58.37658;57.562622;41.94035;61.795404;23.849352
16949;39.427185;47.836067;27.086199;26.253645;39.427185;36.806805;27.086199;27.719929
16950;32.506476;27.539286;21.76218;26.107044;32.506476;27.485792;21.76218;24.791145
16951;47.923612;49.26771;9.65195;10.545372;47.923612;40.70825;9.65195;26.455887
16952;27.217312;30.28937;26.030792;30.865017;27.217312;13.230763;26.030792;30.301926
16953;183.819331;162.15991;55.400482;54.360443;183.819331;170.77362;55.400482;39.901962
16954;10.252125;14.824943;27.91242;27.335423;10.252125;16.67935;27.91242;27.816587
16955;9.050184;7.5812635;36.628592;34.784977;9.050184;-2.2669284;36.628592;39.135185
